Ticker,Current_Price,Recommendation,Action,Signal_Strength,RSI,RSI_Trend,MACD,MACD_Signal,MACD_Crossover,Volume_Ratio,OBV_Trend,Analysis_Date
TEM,81.01000213623047,⚪ 신중한 추가매수 검토,관망,0,58.64,상승,3.929,3.7979,없음,0.63,상승,2025-09-10 12:20:38
GLUE,4.829999923706055,⚪ 신중한 추가매수 검토,관망,1,64.06,하락,0.005,-0.0553,없음,0.79,상승,2025-09-10 12:20:38
RXRX,4.699999809265137,🔵 적극적 추가매수 고려,매수 검토,3,22.5,상승,-0.2496,-0.2099,없음,0.87,하락,2025-09-10 12:20:39
